adlib_id,female_13-17,female_18-24,female_25-34,female_35-44,female_45-54,female_55-64,female_65+,male_13-17,male_18-24,male_25-34,male_35-44,male_45-54,male_55-64,male_65+,unknown_13-17,unknown_18-24,unknown_25-34,unknown_35-44,unknown_45-54,unknown_55-64,unknown_65+,unknown_Unknown
228681799250279,,,0.104,0.009,,,,,,0.807,0.074,,,,,,0.006,0,,,,
280316337430097,,,,0.037,0.094,0.091,,,,,0.23,0.342,0.2,,,,,0.002,0.004,0.001,,
896457824631436,,,,,,,,0.001,,0.936,0.063,,,,,,,,,,,
405729974549888,,,,0.166,0.135,0.05,,,,,0.394,0.204,0.048,,,,,0.002,0.001,0,,
590626992386677,,,,,,,,0,,0.935,0.065,,,,,,,,,,,
625968271754202,,,0.332,0.027,,,,,,0.588,0.051,,,,,,0.002,0,,,,
251483003536898,,,0.939,0.061,,,,,,,,,,,,,,,,,,
143170107982785,,,0.057,0.006,,,,,,0.83,0.1,,,,,,0.006,0.001,,,,
343737440884118,,,,,,,,,,0.904,0.096,,,,,,,,,,,
390222929481799,,,,0.056,0.109,0.062,,,,,0.402,0.282,0.078,,,,,0.007,0.005,,,
583797459430230,,,0.868,0.132,,,,,,,,,,,,,,,,,,
2262696390540251,,,,,,,,,,0.947,0.053,,,,,,,,,,,
292082169196177,,,0.278,0.018,,,,,,0.657,0.044,,,,,,0.002,0,,,,
400571978294548,0,,0.957,0.043,,,,,,,,,,,,,,,,,,
545064066559616,,,,0.213,0.174,0.063,,,,,0.328,0.177,0.042,,,,,0.003,0.001,0,,
660571021595525,,,,,,,,,,0.918,0.082,,,,,,,,,,,
170909031856336,,,0.083,0.007,,,,,,0.831,0.074,,,,,,0.005,,,,,
413023556869751,,,,0.021,0.068,0.084,,,,,0.224,0.358,0.238,,,,,0.003,0.003,0.001,,
897144217899558,,,0.898,0.102,,,,,,,,,,,,,,,,,,
611441903600687,,,0.946,0.054,,,,,,,,,,,,,,,,,,
1369363443461595,,,,0.232,0.184,0.064,,,,,0.315,0.163,0.039,,,,,0.002,0.001,0,,
1200338620487958,,,0.294,0.021,,,,,,0.636,0.046,,,,,,0.003,0,,,,
1042076769939824,,,,,,,,0,,0.941,0.059,,,,,,,,,,,
1496278130743389,,0.027,0.065,0.085,0.067,0.004,,,0.143,0.237,0.229,0.125,0.008,,,0.001,0.003,0.004,0.002,0,,
1568642360153587,,0.117,0.158,0.11,0.049,,,,0.136,0.236,0.141,0.048,,,,0.001,0.001,0.001,0,,,
1556131078055395,,0.019,0.054,0.075,0.051,,,,0.098,0.25,0.29,0.159,,,,0,0.001,0.002,0.001,,,
401481741423578,,0.026,0.098,0.108,0.097,0.046,0.05,,0.087,0.175,0.161,0.086,0.032,0.033,,,0.001,0.002,,,,
568207677753897,,,0.03,0.004,,,,,,0.885,0.074,,,,,,0.007,,,,,
406281750966153,,,,,,,,,,0.923,0.077,,,,,,,,,,,
